Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.21032E-4,71.503061629,0.627941871,0.054755043,0.619047619,0.714285714
4.22782E-4,71.756225372,0.628910698,0.0541588,0.619047619,0.714285714
4.2373E-4,72.010347882,0.629433342,0.053562556,0.619047619,0.714285714
4.25047E-4,72.265084223,0.6301567,0.052966312,0.619047619,0.714285714
4.26444E-4,72.520766686,0.630920988,0.052370069,0.619047619,0.857142857
4.27286E-4,72.776865211,0.631380257,0.051773825,0.619047619,0.857142857
4.28663E-4,73.033624482,0.632128862,0.051177581,0.619047619,0.857142857
4.29973E-4,73.29137523,0.632838211,0.050581338,0.650793651,0.857142857
4.30565E-4,73.506524752,0.633157588,0.050084468,0.650793651,0.857142857
4.31101E-4,73.765094296,0.63344666,0.049488224,0.650793651,0.857142857
4.32021E-4,74.024022241,0.633941755,0.048891981,0.650793651,0.857142857
4.34339E-4,74.284031383,0.635182359,0.048295737,0.650793651,0.857142857
4.34968E-4,74.501427675,0.635517594,0.047798867,0.650793651,0.857142857
4.35909E-4,74.762742295,0.636018097,0.047202623,0.650793651,0.857142857
4.37367E-4,75.024870499,0.636790936,0.04660638,0.650793651,0.857142857
4.38413E-4,75.287683662,0.63734285,0.046010136,0.650793651,0.857142857
4.3989E-4,75.507310454,0.638120078,0.045513266,0.666666667,0.857142857
4.41281E-4,75.771904246,0.638849043,0.044917023,0.666666667,0.857142857
4.42581E-4,76.037004748,0.639527328,0.044320779,0.666666667,0.857142857
4.4348E-4,76.258693502,0.639995031,0.043823909,0.682539683,0.857142857
4.45301E-4,76.525458271,0.640938623,0.043227666,0.682539683,0.857142857
4.46083E-4,76.792887232,0.641342337,0.042631422,0.682539683,0.857142857
4.47979E-4,77.015595298,0.642317422,0.042134552,0.682539683,0.857142857
4.49848E-4,77.285881906,0.64327328,0.041538309,0.682539683,1
4.51798E-4,77.511468272,0.644265275,0.041041439,0.682539683,1
4.52368E-4,77.782702098,0.644553903,0.040445195,0.698412698,1
4.53903E-4,78.00947005,0.645329912,0.039948326,0.698412698,1
4.56535E-4,78.282531344,0.646651958,0.039352082,0.698412698,1
4.57292E-4,78.511032103,0.647030592,0.038855212,0.698412698,1
4.58227E-4,78.78565957,0.647496664,0.038258968,0.714285714,1
4.60324E-4,79.015318827,0.64853829,0.037762099,0.714285714,1
4.6084E-4,79.291684539,0.648793391,0.037165855,0.714285714,1
4.62371E-4,79.522773942,0.649548873,0.036668985,0.714285714,1
4.63673E-4,79.754333351,0.650188675,0.036172116,0.714285714,1
4.64562E-4,80.032868184,0.650624199,0.035575872,0.714285714,1
4.66197E-4,80.265637909,0.651422422,0.035079002,0.714285714,1
4.67922E-4,80.545826936,0.652260812,0.034482759,0.714285714,1
4.69898E-4,80.780359104,0.653215886,0.033985889,0.714285714,1
4.71196E-4,81.015614766,0.65384037,0.033489019,0.714285714,1
4.72674E-4,81.251650559,0.654548862,0.032992149,0.714285714,1
4.73702E-4,81.535642765,0.655039935,0.032395906,0.714285714,1
4.7592E-4,81.773108973,0.656094614,0.031899036,0.73015873,1
4.78425E-4,82.011825004,0.657278363,0.031402166,0.73015873,1
4.80511E-4,82.251805236,0.658257605,0.030905297,0.73015873,1
4.83124E-4,82.541039319,0.659476563,0.030309053,0.73015873,1
4.84939E-4,82.783367504,0.660318323,0.029812183,0.73015873,1
4.86744E-4,83.026427085,0.661150821,0.029315314,0.746031746,1
4.87353E-4,83.269989109,0.661431309,0.028818444,0.746031746,1
4.89304E-4,83.514276439,0.662325075,0.028321574,0.746031746,1
4.90013E-4,83.759128701,0.662649092,0.027824704,0.746031746,1
